latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.91641,141.69339,321.7,1.09,1.04,2021-08-13,0058,T,80,6.1NRT,293.76,15.31,D
-11.42548,131.30197,312.11,3.34,1.72,2021-08-13,0058,T,39,6.1NRT,298.15,26.73,D
-23.08169,-47.57723,310.99,1.2,1.09,2021-08-13,0139,T,81,6.1NRT,285.13,15.93,N
-23.07948,-47.57148,304.13,1.2,1.09,2021-08-13,0139,T,59,6.1NRT,284.9,10.71,N
-22.5455,-46.79337,304.97,1.09,1.04,2021-08-13,0139,T,62,6.1NRT,284.83,9.46,N
-22.54686,-46.80392,310.56,1.09,1.04,2021-08-13,0139,T,80,6.1NRT,286.07,13.74,N
-22.48949,-47.48341,309.46,1.17,1.08,2021-08-13,0139,T,77,6.1NRT,286.09,14.02,N
-22.49093,-47.49477,310.12,1.17,1.08,2021-08-13,0139,T,79,6.1NRT,285.76,14.68,N
-22.39469,-46.96998,310.85,1.11,1.05,2021-08-13,0139,T,81,6.1NRT,286.5,13.9,N
-21.3234,-42.81647,302.8,1.12,1.06,2021-08-13,0139,T,51,6.1NRT,288.49,6.8,N
-32.20907,146.92337,314.98,4.17,1.89,2021-08-13,0105,T,75,6.1NRT,287.83,106.42,D
-32.21109,146.91606,313.5,4.17,1.89,2021-08-13,0105,T,73,6.1NRT,287.85,97.84,D
-32.99868,137.59111,302.88,1.13,1.06,2021-08-13,0105,T,36,6.1NRT,291.09,4.21,D
49.68075,18.6706,307.42,1.15,1.07,2021-08-13,0113,A,71,6.1NRT,285.43,12.49,N
48.27695,14.34065,315.24,1,1,2021-08-13,0113,A,91,6.1NRT,289.72,14.62,N
42.60778,18.80227,305.24,1.62,1.25,2021-08-13,0115,A,63,6.1NRT,291.64,13.05,N
42.57686,18.72404,303.5,1.6,1.25,2021-08-13,0115,A,55,6.1NRT,292.73,10.82,N
42.01433,19.8809,314.9,1.91,1.35,2021-08-13,0115,A,90,6.1NRT,292.94,34.83,N
42.01025,19.89967,305.68,1.92,1.35,2021-08-13,0115,A,65,6.1NRT,290.15,18.42,N
42.00278,19.87566,321.48,1.91,1.35,2021-08-13,0115,A,100,6.1NRT,293.58,49.55,N
41.85294,19.69556,308.06,1.89,1.34,2021-08-13,0115,A,73,6.1NRT,295.73,16.74,N
41.98714,12.82719,306.5,1.01,1,2021-08-13,0117,A,35,6.1NRT,294.42,5.27,N
41.97826,12.82484,308.56,1.01,1,2021-08-13,0117,A,18,6.1NRT,293.84,6.41,N
41.9712,12.81058,316.25,1.01,1,2021-08-13,0117,A,70,6.1NRT,296.43,11.69,N
41.96938,12.8225,310.14,1.01,1,2021-08-13,0117,A,8,6.1NRT,293.87,7.21,N
41.9636,12.8019,306.79,1.01,1,2021-08-13,0117,A,69,6.1NRT,294.6,6.13,N
41.96179,12.81373,312.71,1.01,1,2021-08-13,0117,A,85,6.1NRT,294.11,10.6,N
41.53576,13.69516,306.8,1.04,1.02,2021-08-13,0117,A,69,6.1NRT,295.23,6.99,N
41.00644,16.00361,312.33,1.27,1.12,2021-08-13,0117,A,85,6.1NRT,290.93,16.79,N
41.00373,16.01836,305.12,1.27,1.12,2021-08-13,0117,A,63,6.1NRT,290.77,9.97,N
41.36744,13.29354,307.23,1.03,1.01,2021-08-13,0117,A,71,6.1NRT,295.89,5.7,N
41.28589,13.57845,304.03,1.04,1.02,2021-08-13,0117,A,58,6.1NRT,293.83,3.8,N
39.0938,16.17281,313.43,1.4,1.17,2021-08-13,0117,A,82,6.1NRT,294.61,18.63,N
36.71645,8.68398,321,1.06,1.03,2021-08-13,0117,A,100,6.1NRT,299.05,17.89,N
36.7149,8.69575,310.81,1.06,1.03,2021-08-13,0117,A,81,6.1NRT,297.69,8.14,N
36.75676,5.99147,323.06,1.39,1.17,2021-08-13,0117,A,100,6.1NRT,298.57,28.73,N
36.75499,6.00766,311.09,1.38,1.16,2021-08-13,0117,A,79,6.1NRT,298.45,10.74,N
36.70109,6.30697,320.2,1.33,1.14,2021-08-13,0117,A,100,6.1NRT,300.4,22.49,N
36.69934,6.3228,325.14,1.33,1.14,2021-08-13,0117,A,100,6.1NRT,299.84,30.11,N
36.50469,7.89472,369.56,1.12,1.06,2021-08-13,0117,A,100,6.1NRT,302.02,132.15,N
36.50316,7.90703,390.39,1.12,1.06,2021-08-13,0117,A,100,6.1NRT,308.19,234.02,N
36.83303,4.81928,325.31,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,300.26,38.69,N
36.83127,4.83767,347.58,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,304.74,106.49,N
36.8295,4.85604,314.95,1.61,1.25,2021-08-13,0117,A,70,6.1NRT,301.42,17.83,N
36.49524,7.89316,341.53,1.12,1.06,2021-08-13,0117,A,100,6.1NRT,300.38,50.59,N
36.49372,7.90541,326.18,1.12,1.06,2021-08-13,0117,A,100,6.1NRT,298.86,24.96,N
36.82174,4.81829,388.88,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,303.53,382.78,N
36.81987,4.83803,429.35,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,316.11,958.57,N
36.81813,4.85618,328.79,1.61,1.25,2021-08-13,0117,A,100,6.1NRT,300.63,45.94,N
36.81635,4.87482,309.64,1.61,1.25,2021-08-13,0117,A,49,6.1NRT,298.77,10,N
36.81046,4.8173,312.42,1.62,1.25,2021-08-13,0117,A,32,6.1NRT,301.42,13.56,N
36.80872,4.8356,317.94,1.62,1.25,2021-08-13,0117,A,96,6.1NRT,300.13,21.32,N
36.48259,7.83918,319.45,1.13,1.06,2021-08-13,0117,A,99,6.1NRT,298.38,17.19,N
36.4811,7.85127,313.79,1.13,1.06,2021-08-13,0117,A,87,6.1NRT,297.03,11.02,N
36.82166,4.81245,334.16,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,298.25,60.85,N
36.81969,4.83181,421.45,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,316.54,813.56,N
36.81774,4.85094,336.22,1.61,1.25,2021-08-13,0117,A,100,6.1NRT,304.19,65.62,N
36.8159,4.86901,314.92,1.61,1.25,2021-08-13,0117,A,86,6.1NRT,299.31,17.61,N
36.81035,4.81155,312.05,1.62,1.25,2021-08-13,0117,A,44,6.1NRT,300.96,13.74,N
36.80849,4.83002,323.49,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,301.26,33.67,N
36.79887,4.81233,358,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,303.98,156.78,N
36.79712,4.82994,331.2,1.62,1.25,2021-08-13,0117,A,100,6.1NRT,301.2,53.17,N
